video_id,Deutschland,USA,Kanada,Großbritannien,total
edkKimh317w,2.0,0.0,0.0,0.0,2.0
QInpdmG3ufo,1.0,0.0,0.0,0.0,1.0
4aYfjEJIYzQ,2.0,0.0,0.0,0.0,2.0
YvfYK0EEhK4,1.0,8.0,5.0,0.0,14.0
CSFSBY1AFik,1.0,0.0,0.0,0.0,1.0
2QLoisN-NA8,1.0,0.0,0.0,0.0,1.0
jA6B5HIF5lE,1.0,0.0,0.0,0.0,1.0
MT5-94LOku4,1.0,0.0,0.0,0.0,1.0
jgVGTcL85Lc,1.0,0.0,0.0,0.0,1.0
JVb1tz1Xxpg,1.0,0.0,0.0,0.0,1.0
5eFVNA4aUFc,1.0,0.0,0.0,0.0,1.0
mZqKoN0F5XA,1.0,0.0,0.0,0.0,1.0
8a3TEOAEfcY,1.0,0.0,0.0,0.0,1.0
Ax1P5Q8Kr9g,2.0,0.0,4.0,0.0,6.0
yTV6dGEOU5w,1.0,0.0,0.0,0.0,1.0
_WLZY6X2EgY,1.0,0.0,0.0,0.0,1.0
Liu7eGLQzak,1.0,0.0,0.0,0.0,1.0
bi0zaylanE0,3.0,0.0,0.0,0.0,3.0
H61xf7-iCqA,1.0,0.0,0.0,0.0,1.0
P53ocP6cLZ4,1.0,0.0,0.0,0.0,1.0
oLo5bnfCr3M,1.0,0.0,0.0,0.0,1.0
IshupRM1yKo,1.0,0.0,0.0,0.0,1.0
VOodfaZJMTI,2.0,0.0,0.0,0.0,2.0
McE4kVmDrKo,1.0,0.0,0.0,0.0,1.0
yniU2XZCnqY,1.0,0.0,0.0,0.0,1.0
UtghnAIMgs8,1.0,0.0,0.0,0.0,1.0
9SK1I0V6U5c,1.0,7.0,4.0,0.0,12.0
XxiAy3dstZ8,1.0,0.0,0.0,0.0,1.0
Y_5cXHcD5Uk,1.0,0.0,0.0,0.0,1.0
q8AhPMUBzBs,1.0,0.0,0.0,0.0,1.0
hbhbu_Kf424,1.0,0.0,2.0,0.0,3.0
ndLYcaq7VMY,1.0,0.0,0.0,0.0,1.0
ei1LpoBumeQ,1.0,0.0,0.0,0.0,1.0
R9Dr5ylOZVQ,1.0,0.0,0.0,0.0,1.0
gckH7RGbiDo,1.0,0.0,0.0,0.0,1.0
j9ZenoC4E5o,1.0,0.0,0.0,0.0,1.0
1v_SX8Gpt_E,1.0,0.0,0.0,0.0,1.0
_VfYh3xvVVE,1.0,0.0,0.0,0.0,1.0
C7o9lcfj-tw,1.0,0.0,0.0,0.0,1.0
_3bCI9THOps,1.0,0.0,0.0,0.0,1.0
a8G-vVFKm4M,1.0,0.0,1.0,0.0,2.0
oT8vMGBugoQ,1.0,0.0,0.0,0.0,1.0
iTIz7pF3Rec,1.0,0.0,0.0,0.0,1.0
kV_fgZ-5CAo,1.0,0.0,0.0,0.0,1.0
Qq_SlZu9VvM,1.0,0.0,0.0,0.0,1.0
G_M_Jk_McTY,1.0,0.0,0.0,0.0,1.0
ZQRhUQm9TPQ,1.0,0.0,0.0,0.0,1.0
8SSahF2slJc,1.0,0.0,0.0,0.0,1.0
01QOSw0C-0E,1.0,0.0,0.0,0.0,1.0
ZqalFWPGVYY,1.0,0.0,0.0,0.0,1.0
wYce-AjWQcs,1.0,0.0,0.0,0.0,1.0
m6uDHpfMduI,1.0,0.0,0.0,0.0,1.0
uOwd27Qy3Sw,1.0,0.0,0.0,0.0,1.0
v3Z-7UjIIzU,3.0,0.0,0.0,0.0,3.0
ZDb88pnDBoc,1.0,0.0,0.0,0.0,1.0
JRSC6h2wgt4,1.0,0.0,0.0,0.0,1.0
NIN0B-VONLU,1.0,0.0,0.0,0.0,1.0
m9JQxSKPjOo,1.0,0.0,0.0,0.0,1.0
YlYuakN31-E,1.0,0.0,0.0,0.0,1.0
qoAkdnZsDuM,1.0,0.0,0.0,0.0,1.0
f9gSYSRBpH4,1.0,0.0,0.0,0.0,1.0
i-9MxEi5oWg,1.0,0.0,1.0,0.0,2.0
v_PUbowETb0,1.0,0.0,0.0,0.0,1.0
bfGZpaXEZvE,1.0,0.0,0.0,0.0,1.0
HIz1H_rkrl0,1.0,0.0,2.0,0.0,3.0
2nuDslpomkQ,1.0,0.0,0.0,0.0,1.0
1tKaA1TW02I,1.0,0.0,0.0,0.0,1.0
plMgvHgHIZU,1.0,0.0,0.0,0.0,1.0
qHrSWmgOUyc,1.0,0.0,0.0,0.0,1.0
3qtTdwIp89o,1.0,0.0,0.0,0.0,1.0
